{'value': 1112, 'dt': datetime.datetime(2022, 9, 30, 1, 14)}
{'value': 945, 'dt': datetime.datetime(2022, 9, 30, 0, 53)}
{'value': 20, 'dt': datetime.datetime(2022, 9, 30, 2, 7)}
{'value': 184, 'dt': datetime.datetime(2022, 9, 30, 1, 47)}
{'value': 113, 'dt': datetime.datetime(2022, 9, 30, 2, 35)}
{'value': 353, 'dt': datetime.datetime(2022, 9, 30, 2, 20)}
{'value': 1330, 'dt': datetime.datetime(2022, 9, 30, 0, 48)}
{'value': 21, 'dt': datetime.datetime(2022, 9, 30, 0, 31)}
{'value': 424, 'dt': datetime.datetime(2022, 9, 30, 1, 29)}
{'value': 105, 'dt': datetime.datetime(2022, 9, 30, 3, 50)}
{'value': 262, 'dt': datetime.datetime(2022, 9, 30, 2, 31)}
{'value': 453, 'dt': datetime.datetime(2022, 9, 30, 2, 29)}
{'value': 428, 'dt': datetime.datetime(2022, 9, 30, 3, 17)}
{'value': 1167, 'dt': datetime.datetime(2022, 9, 30, 2, 28)}
{'value': 93, 'dt': datetime.datetime(2022, 9, 30, 2, 6)}
{'value': 148, 'dt': datetime.datetime(2022, 9, 30, 0, 19)}
{'value': 0, 'dt': datetime.datetime(2022, 9, 30, 0, 25)}
{'value': 1231, 'dt': datetime.datetime(2022, 9, 30, 0, 1)}
{'value': 1106, 'dt': datetime.datetime(2022, 9, 30, 0, 6)}
{'value': 672, 'dt': datetime.datetime(2022, 9, 30, 0, 35)}
{'value': 1002, 'dt': datetime.datetime(2022, 9, 30, 2, 4)}
{'value': 1069, 'dt': datetime.datetime(2022, 9, 30, 0, 30)}
{'value': 1074, 'dt': datetime.datetime(2022, 9, 30, 3, 18)}
{'value': 472, 'dt': datetime.datetime(2022, 9, 30, 5, 54)}
{'value': 1365, 'dt': datetime.datetime(2022, 9, 30, 6, 5)}
{'value': 338, 'dt': datetime.datetime(2022, 9, 30, 5, 4)}
{'value': 206, 'dt': datetime.datetime(2022, 9, 30, 0, 18)}
{'value': 193, 'dt': datetime.datetime(2022, 9, 30, 6, 20)}
{'value': 1393, 'dt': datetime.datetime(2022, 9, 30, 5, 20)}
{'value': 737, 'dt': datetime.datetime(2022, 9, 30, 3, 41)}
{'value': 1180, 'dt': datetime.datetime(2022, 9, 30, 6, 9)}
{'value': 1074, 'dt': datetime.datetime(2022, 9, 30, 4, 41)}
{'value': 0, 'dt': datetime.datetime(2022, 9, 30, 2, 20)}
