source_url	parsed_url
https://regex101.com/	https://regex101.com/static/assets/10.5__iPad_Air_landscape.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_8__iPhone_7__iPhone_6s__iPhone_6__4.7__iPhone_SE_landscape.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_13_mini__iPhone_12_mini__iPhone_11_Pro__iPhone_XS__iPhone_X_landscape.png
https://regex101.com/	https://regex101.com/static/assets/icon-32.png
https://regex101.com/	https://regex101.com/
https://regex101.com/	https://regex101.com/static/assets/9.7__iPad_Pro__7.9__iPad_mini__9.7__iPad_Air__9.7__iPad_landscape.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_11_Pro_Max__iPhone_XS_Max_landscape.png
https://regex101.com/	https://regex101.com/static/assets/9.7__iPad_Pro__7.9__iPad_mini__9.7__iPad_Air__9.7__iPad_portrait.png
https://regex101.com/	http://browsehappy.com/
https://regex101.com/	https://regex101.com/static/assets/4__iPhone_SE__iPod_touch_5th_generation_and_later_portrait.png
https://regex101.com/	https://regex101.com/settings
https://regex101.com/	https://regex101.com/static/assets/iPhone_14__iPhone_13_Pro__iPhone_13__iPhone_12_Pro__iPhone_12_portrait.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_8__iPhone_7__iPhone_6s__iPhone_6__4.7__iPhone_SE_portrait.png
https://regex101.com/	https://regex101.com/debugger
https://regex101.com/	https://regex101.com/static/assets/icon-96.png
https://regex101.com/	https://regex101.com/static/quickref.e69653d51c2cdd96917d.chunk.js
https://regex101.com/	https://regex101.com/static/assets/8.3__iPad_Mini_landscape.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_14_Pro_portrait.png
https://regex101.com/	https://regex101.com/static/assets/10.2__iPad_landscape.png
https://regex101.com/	https://regex101.com/static/assets/10.2__iPad_portrait.png
https://regex101.com/	https://regex101.com/static/assets/favicon.ico
https://regex101.com/	https://regex101.com/static/67.36ecda0d643757bae2b3.css
https://regex101.com/	https://regex101.com/static/assets/icon-76.png
https://regex101.com/	https://regex101.com/codegen?language=php
https://regex101.com/	https://regex101.com/static/assets/8.3__iPad_Mini_portrait.png
https://regex101.com/	https://regex101.com/static/assets/icon-120.png
https://regex101.com/	https://regex101.com
https://regex101.com/	https://turnonjs.com
https://regex101.com/	https://fonts.googleapis.com/css2?family=Open+Sans:ital,wght@0,300;0,400;0,600;0,700;1,400&family=Source+Code+Pro:wght@400;500;700&display=swap
https://regex101.com/	https://regex101.com/static/assets/iPhone_8_Plus__iPhone_7_Plus__iPhone_6s_Plus__iPhone_6_Plus_landscape.png
https://regex101.com/	https://regex101.com/static/assets/icon-152.png
https://regex101.com/	https://regex101.com/static/assets/icon-16.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_13_mini__iPhone_12_mini__iPhone_11_Pro__iPhone_XS__iPhone_X_portrait.png
https://regex101.com/	https://regex101.com/static/assets/4__iPhone_SE__iPod_touch_5th_generation_and_later_landscape.png
https://regex101.com/	https://fonts.gstatic.com
https://regex101.com/	https://regex101.com/static/assets/icon-144.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_14_Plus__iPhone_13_Pro_Max__iPhone_12_Pro_Max_portrait.png
https://regex101.com/	https://regex101.com/static/assets/10.5__iPad_Air_portrait.png
https://regex101.com/	https://regex101.com/static/assets/iPhone_8_Plus__iPhone_7_Plus__iPhone_6s_Plus__iPhone_6_Plus_portrait.png
